特約類別,機構代號,機構名稱,全日平均三班護理人員數,護病比,病床數,分佈,圖點,區部病床數排名
醫學中心,501110514,三軍總醫院,343.3,7.5,2171,1,三軍總醫院,4
精神專科,501160014,三總北投院,56.9,11.2,445,1,三軍總醫院北投分院,43
區域醫院,501010019,三總松山院,27.5,10.1,507,1,三軍總醫院松山分院,38
地區醫院,511040010,三總附基隆,10,11.6,256,1,三軍總醫院基隆分院正榮院區,56
地區醫院,1531021174,祐民醫院,6,10.2,53,1,三重祐民醫院,96
地區醫院,1533051063,大安醫院,10,8.6,80,1,大安醫院,80
地區醫院,901020013,中山醫院,32,8.5,250,1,中山醫院,57
地區醫院,1101020027,中心綜合,21,5.2,580,1,中心綜合醫院,33
地區醫院,1301110511,中國醫臺北,10.3,9.8,291,1,中國醫藥大學附設醫院,51
地區醫院,1333050017,中醫大新竹,,,,1,中國醫藥大學新竹附設醫院,
地區醫院,1512040051,新中興醫院,5,3.5,67,1,中興醫院,89
地區醫院,1532021338,中壢長榮,11,9.2,62,1,中壢長榮醫院,94
地區醫院,1531071030,仁愛醫院,48,7.7,142,1,仁愛醫院,67
區域醫院,101090517,臺北市聯醫仁愛院區,96,9.8,792,1,仁愛醫院,19
地區醫院,1401190011,仁濟醫院,4,2.3,125,1,仁濟醫院,70
地區醫院,1531100027,公祥醫院,3,4.2,95,1,公祥醫院,75
地區醫院,1133060019,湖口仁慈,22.5,10.9,391,1,天主教仁慈醫院,46
區域醫院,932020025,天晟醫院,38,8.4,607,1,天晟醫院,29
地區醫院,931090014,文化醫院,7,11.2,34,1,文化醫院,101
精神專科,931100015,北新醫院,11.5,14.7,64,1,北新醫院,91
區域醫院,101090517,臺北市聯醫陽明院區,57.5,11.2,512,1,台北市立聯合醫院陽明院區,36
醫學中心,1101010012,台北長庚,31.7,7.5,180,1,台北長庚紀念醫院,63
地區醫院,634030014,蘇澳榮民醫,19,11.9,127,1,台北榮民總醫院-蘇澳分院,69
