特約類別,機構代號,機構名稱,全日平均三班護理人員數,護病比,病床數,分佈,圖點,區部病床數排名
醫學中心,501110514,三軍總醫院,394.8,7.7,1849,1,三軍總醫院,4
區域醫院,501160014,三總北投院,67.3,11.5,435,1,三軍總醫院北投分院,38
區域醫院,501010019,三總松山院,32.2,10.2,436,1,三軍總醫院松山分院,37
地區醫院,511040010,三總附基隆,18,9,185,1,三軍總醫院基隆分院正榮院區,61
地區醫院,1531021174,祐民醫院,6,12.3,44,1,三重祐民醫院,100
地區醫院,1533051063,大安醫院,11,7.7,81,1,大安醫院,76
地區醫院,901020013,中山醫院,37.1,6.7,273,1,中山醫院,53
地區醫院,1101020027,中心綜合,19,8.5,392,1,中心綜合醫院,42
地區醫院,1301110511,中國醫臺北,12.9,11.3,202,1,中國醫藥大學附設醫院,57
地區醫院,1333050017,中醫大新竹,,,,1,中國醫藥大學新竹附設醫院,
地區醫院,1512040051,新中興醫院,5,3.2,74,1,中興醫院,80
地區醫院,1532021338,中壢長榮,13,6,81,1,中壢長榮醫院,77
地區醫院,1531071030,仁愛醫院,30.9,11.8,143,1,仁愛醫院,67
區域醫院,101090517,臺北市聯醫仁愛院區,107.7,10.5,651,1,仁愛醫院,20
地區醫院,1401190011,仁濟醫院,4,1.5,200,1,仁濟醫院,58
地區醫院,1531100027,公祥醫院,3,5.7,69,1,公祥醫院,84
地區醫院,1133060019,湖口仁慈,22.5,11.8,367,1,天主教仁慈醫院,45
區域醫院,932020025,天晟醫院,38,9.7,531,1,天晟醫院,29
地區醫院,931090014,文化醫院,8,9.8,34,1,文化醫院,103
精神專科,931100015,北新醫院,12,14.8,61,1,北新醫院,92
區域醫院,101090517,臺北市聯醫陽明院區,70.7,10.6,444,1,台北市立聯合醫院陽明院區,35
醫學中心,1101010012,台北長庚,38,7,161,1,台北長庚紀念醫院,63
地區醫院,634030014,蘇澳榮民醫,23.5,11.2,109,1,台北榮民總醫院-蘇澳分院,69
地區醫院,634070018,員山榮民醫,41,10.6,253,1,台北榮總員山分院,55
地區醫院,1531031278,永和復康,4.5,11.9,22,1,永和復康醫院,107
地區醫院,1531050077,同仁醫院,5,6.2,38,1,同仁醫院,101
區域醫院,1131110516,汐止國泰,96.5,9.8,684,1,汐止國泰綜合醫院,17
地區醫院,1501190031,西園醫院,16,9,103,1,西園醫院,70
區域醫院,1131050515,慈濟台北,162.5,8.8,677,1,佛教慈濟綜合醫院台北院區,18
地區醫院,1532101108,宋俊宏婦幼,7,11.5,45,1,宋俊宏婦幼醫院,99
地區醫院,937050024,宏仁醫院,13,10.6,50,1,宏仁醫院,96
地區醫院,1531020122,宏仁醫院,7,10.6,68,1,宏仁醫院,86
地區醫院,932020016,宏其婦幼,11.1,8.8,71,1,宏其婦幼醫院,83
地區醫院,1101020036,宏恩醫院,22.3,10.6,151,1,宏恩醫院,64
地區醫院,1134050026,杏和醫院,3,4.5,91,1,杏和醫院,73
醫學中心,1131010011,亞東醫院,322,7.2,950,1,亞東醫院,9
地區醫院,1501100037,協和婦女,5,2.6,91,1,協和婦女醫院,73
區域醫院,1101160026,和信治癌醫,91,5.3,416,1,和信治癌中心醫院,40
精神專科,1532060031,居善醫院,12,14.6,62,1,居善醫院,89
地區醫院,1532040066,怡仁醫院,35.2,9.6,200,1,怡仁醫院,58
地區醫院,1531041390,怡和醫院,5,10.7,22,1,怡和醫院,107
地區醫院,1532021285,承安醫院,3.8,4.1,77,1,承安醫院,79
區域醫院,933050018,東元法人,,,,1,東元綜合醫院,
地區醫院,931010025,板英醫院,4,8.3,36,1,板英醫院,102
醫學中心,1132070011,林口長庚,878,7.5,3453,1,林口長庚紀念醫院,1
地區醫院,1532101117,秉坤,7,10.7,25,1,秉坤婦幼醫院,106
地區醫院,1512011185,南門醫院,16,9.2,223,1,南門醫院,56
地區醫院,1134070019,宜蘭員山,,,,1,員山馬偕紀念醫院,
區域醫院,1131090019,恩主公醫院,75.4,9.6,369,1,恩主公醫院,44
地區醫院,1531131157,恩樺醫院,16.5,9.5,78,1,恩樺醫院,78
區域醫院,1101160017,振興醫院,222.5,9.8,944,1,振興醫院,10
區域醫院,632010014,北榮桃園,54,10.9,655,1,桃園榮民醫院,19
地區醫院,1532010120,桃新醫院,5,5,48,1,桃新醫院,97
精神專科,934060027,海天醫院,8,12.9,47,1,海天醫院,98
區域醫院,1231050017,新店耕莘醫院,115.2,10.7,980,1,耕莘醫院,8
地區醫院,1231030015,永和耕莘,36.4,11.9,365,1,耕萃醫院永和分院,46
醫學中心,1101100011,馬偕台北,227,7.5,859,1,馬偕紀念醫院,12
醫學中心,1131100010,馬偕淡水,234.5,7.5,1274,1,馬偕醫院淡水院區,5
區域醫院,434010518,陽大醫院,119.9,9.1,440,1,國立陽明交通大學附設醫院,36
醫學中心,401180014,台大醫院,689.5,7.4,1973,1,國立臺灣大學醫學院附設醫院,3
