特約類別,機構代號,機構名稱,全日平均三班護理人員數,護病比,病床數,分佈,圖點,區部病床數排名
醫學中心,501110514,三軍總醫院,427.7,7.4,1777,1,三軍總醫院,4
精神專科,501160014,三總北投,68.1,11.3,435,1,三軍總醫院北投分院,45
區域醫院,501010019,三總松山,31.5,10,454,1,三軍總醫院松山分院,44
地區醫院,511040010,三總附基隆,15.5,10.5,185,1,三軍總醫院基隆分院正榮院區,67
地區醫院,1531021174,祐民醫院,8,11.7,35,1,三重祐民醫院,106
地區醫院,1533051063,大安醫院,11,9.5,67,1,大安醫院,94
地區醫院,901020013,中山醫院,30,8.4,268,1,中山醫院,57
地區醫院,1101020027,中心綜合,15,7,481,1,中心綜合醫院,43
地區醫院,1301110511,中國醫臺北,10.4,13,215,1,中國醫藥大學附設醫院,65
地區醫院,1333050017,中醫大新竹,50.4,10.7,338,1,中國醫藥大學新竹附設醫院,53
地區醫院,1512040051,新中興醫院,5,3,80,1,中興醫院,86
地區醫院,1532021338,中壢長榮,16,5.1,208,1,中壢長榮醫院,66
地區醫院,1531071030,仁愛醫院,28.3,12.7,145,1,仁愛醫院,72
區域醫院,101090517,臺北市聯醫仁愛院區,96.6,9.9,780,1,仁愛醫院,18
地區醫院,1401190011,仁濟醫院,3,0.8,500,1,仁濟醫院,37
地區醫院,1531100027,公祥醫院,3,5.5,74,1,公祥醫院,90
地區醫院,1133060019,湖口仁慈,22.7,11,237,1,天主教仁慈醫院,60
區域醫院,932020025,天晟醫院,34,10.3,554,1,天晟醫院,34
地區醫院,931090014,文化醫院,10,8.4,32,1,文化醫院,107
精神專科,931100015,北新醫院,12.5,14.4,60,1,北新醫院,98
區域醫院,101090517,臺北市聯醫陽明院區,68.7,9.8,490,1,台北市立聯合醫院陽明院區,41
醫學中心,1101010012,台北長庚,38.2,6.4,172,1,台北長庚紀念醫院,68
地區醫院,634030014,蘇澳榮民醫,19,11.6,131,1,台北榮民總醫院-蘇澳分院,74
地區醫院,634070018,員山榮民醫,33,11.8,279,1,台北榮總員山分院,56
地區醫院,1531031278,永和復康,4.5,9.1,29,1,永和復康醫院,110
地區醫院,1531050077,同仁醫院,5,11.2,22,1,同仁醫院,114
區域醫院,1131110516,汐止國泰,90.3,9.5,740,1,汐止國泰綜合醫院,20
地區醫院,901190010,西園醫院,32,5.8,217,1,西園醫院,64
區域醫院,1131050515,台北慈濟,152.5,8.4,759,1,佛教慈濟綜合醫院台北院區,19
地區醫院,1532101108,宋俊宏婦幼,8,6.5,70,1,宋俊宏婦幼醫院,92
地區醫院,937050024,宏仁醫院,18,10,89,1,宏仁醫院,83
地區醫院,1531020122,宏仁醫院,7,10.9,28,1,宏仁醫院,111
地區醫院,932020016,宏其婦幼,9.5,9.2,79,1,宏其婦幼醫院,88
地區醫院,1101020036,宏恩醫院,18.1,13.8,143,1,宏恩醫院,73
地區醫院,1134050026,杏和醫院,3,3.1,125,1,杏和醫院,75
醫學中心,1131010011,亞東醫院,302,7.8,979,1,亞東醫院,10
地區醫院,1501100037,協和婦女,4,3.8,80,1,協和婦女醫院,86
